sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_16,1.187917,1.0,64,32,2,64,2,2,16
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_2,1.187917,1.0,64,32,2,64,2,2,2
0.059397,1.187945,0.001637,0.000221,0.077759,spechmmer,L2_assoc_32,1.187917,0.9999764298852218,64,32,2,64,2,2,32
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_4,1.187917,1.0,64,32,2,64,2,2,4
0.059397,1.187946,0.001637,0.000221,0.077759,spechmmer,L2_assoc_64,1.187917,0.999975588115958,64,32,2,64,2,2,64
0.058865,1.177306,0.000216,4.3e-05,0.183369,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,1.187917,1.0090129499042728,128,64,4,256,4,16,16
0.058869,1.177387,0.000216,5e-05,0.181544,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,1.187917,1.008943533434631,128,64,4,256,4,4,16
0.058865,1.177306,0.000216,4.4e-05,0.1831,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,1.187917,1.0090129499042728,128,64,4,256,4,8,16
0.058855,1.177095,0.000177,4.4e-05,0.227152,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,1.187917,1.0091938203798334,128,64,4,256,8,8,16
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,Cacheline_128,3.493415,1.3533554229866436,64,32,2,128,2,2,8
0.490062,9.801234,0.243877,7.5e-05,0.99999,speclibm,Cacheline_16,3.493415,0.3564260377825894,64,32,2,16,2,2,8
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,Cacheline_256,3.493415,1.754913475411022,64,32,2,256,2,2,8
0.280391,5.607827,0.12194,8.5e-05,0.999979,speclibm,Cacheline_32,3.493415,0.6229534184988231,64,32,2,32,2,2,8
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L1d_128kB,3.493415,1.3533554229866436,128,32,2,128,2,2,8
0.129064,2.58128,0.030486,0.000112,0.99979,speclibm,cl_128_L1d_32kB,3.493415,1.3533653846153846,32,32,2,128,2,2,8
0.129921,2.598416,0.031778,0.000112,0.944482,speclibm,cl_128_L1d_assoc_1,3.493415,1.3444402282005654,64,32,2,128,1,2,8
0.129065,2.581299,0.030487,0.000112,0.9998,speclibm,cl_128_L1d_assoc_4,3.493415,1.3533554229866436,64,32,2,128,4,2,8
0.129066,2.581318,0.030487,0.000141,0.999631,speclibm,cl_128_L1i_16kB,3.493415,1.3533454615045493,64,16,2,128,2,2,8
0.129063,2.581262,0.030486,9e-05,0.999923,speclibm,cl_128_L1i_64kB,3.493415,1.3533748220831516,64,64,2,128,2,2,8
0.129066,2.581324,0.030487,0.000146,0.999604,speclibm,cl_128_L1i_assoc_1,3.493415,1.3533423158038278,64,32,2,128,2,1,8
0.129064,2.581284,0.030487,9.5e-05,0.999894,speclibm,cl_128_L1i_assoc_4,3.493415,1.3533632874181996,64,32,2,128,2,4,8
0.12918,2.583607,0.030487,0.000112,0.999799,speclibm,cl_128_L2_1MB,3.493415,1.352146437132273,64,32,1,128,2,2,8
0.128833,2.576667,0.030487,0.000112,0.999799,speclibm,cl_128_L2_4MB,3.493415,1.3557883110235045,64,32,4,128,2,2,8
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L2_assoc_16,3.493415,1.3533554229866436,64,32,2,128,2,2,16
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L2_assoc_4,3.493415,1.3533554229866436,64,32,2,128,2,2,4
0.099532,1.990648,0.015244,0.000134,0.999482,speclibm,cl_256_L1d_128kB,3.493415,1.754913475411022,128,32,2,256,2,2,8
0.099532,1.990648,0.015245,0.000135,0.999442,speclibm,cl_256_L1d_32kB,3.493415,1.754913475411022,32,32,2,256,2,2,8
0.101782,2.035647,0.017954,0.000134,0.804798,speclibm,cl_256_L1d_assoc_1,3.493415,1.7161202310616723,64,32,2,256,1,2,8
0.099532,1.990648,0.015244,0.000134,0.999484,speclibm,cl_256_L1d_assoc_4,3.493415,1.754913475411022,64,32,2,256,4,2,8
0.099532,1.990648,0.015244,0.000172,0.999171,speclibm,cl_256_L1i_16kB,3.493415,1.754913475411022,64,16,2,256,2,2,8
0.09953,1.990606,0.015244,9e-05,0.999833,speclibm,cl_256_L1i_64kB,3.493415,1.7549505025102907,64,64,2,256,2,2,8
0.099538,1.990761,0.015244,0.000207,0.998889,speclibm,cl_256_L1i_assoc_1,3.493415,1.7548138626384584,64,32,2,256,2,1,8
0.099532,1.990648,0.015244,0.000114,0.999637,speclibm,cl_256_L1i_assoc_4,3.493415,1.754913475411022,64,32,2,256,2,4,8
0.099563,1.991266,0.015244,0.000134,0.999474,speclibm,cl_256_L2_1MB,3.493415,1.7543688286748231,64,32,1,256,2,2,8
0.099465,1.989307,0.015244,0.000134,0.999474,speclibm,cl_256_L2_4MB,3.493415,1.7560964697756556,64,32,4,256,2,2,8
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,cl_256_L2_assoc_16,3.493415,1.754913475411022,64,32,2,256,2,2,16
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,cl_256_L2_assoc_4,3.493415,1.754913475411022,64,32,2,256,2,2,4
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,default,3.493415,1.0,64,32,2,64,2,2,8
0.174671,3.493423,0.06097,9.4e-05,0.999944,speclibm,L1d_128kB,3.493415,0.9999977099824442,128,32,2,64,2,2,8
0.174671,3.493415,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB,3.493415,1.0,128,64,2,64,2,2,8
0.175298,3.505956,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_1MB,3.493415,0.9964229442696942,128,64,1,64,2,2,8
0.175298,3.505956,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,3.493415,0.9964229442696942,128,64,1,64,2,2,16
0.175298,3.505956,0.060972,8.8e-05,0.999968,speclibm,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,3.493415,0.9964229442696942,128,64,1,64,4,2,16
0.174479,3.489571,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_4MB,3.493415,1.0011015680724078,128,64,4,64,2,2,8
0.174479,3.489571,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,3.493415,1.0011015680724078,128,64,4,64,2,2,16
0.174479,3.489571,0.060972,8.8e-05,0.999968,speclibm,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,3.493415,1.0011015680724078,128,64,4,64,4,2,16
0.174691,3.493825,0.060972,9.4e-05,0.999942,speclibm,L1d_32kB,3.493415,0.9998826501041124,32,32,2,64,2,2,8
0.175516,3.510325,0.061561,9.4e-05,0.986457,speclibm,L1d_assoc_1,3.493415,0.9951827822210196,64,32,2,64,1,2,8
0.174671,3.493415,0.060972,9.4e-05,0.999945,speclibm,L1d_assoc_4,3.493415,1.0,64,32,2,64,4,2,8
0.174671,3.493415,0.060972,9.4e-05,0.999945,speclibm,L1d_assoc_8,3.493415,1.0,64,32,2,64,8,2,8
0.174653,3.49305,0.060966,0.000113,0.999866,speclibm,L1i_16kB,3.493415,1.0001044932079417,64,16,2,64,2,2,8
0.17467,3.493408,0.060971,8.8e-05,0.999967,speclibm,L1i_64kB,3.493415,1.0000020037739652,64,64,2,64,2,2,8
0.174648,3.492952,0.060972,0.000122,0.99983,speclibm,L1i_assoc_1,3.493415,1.0001325526374254,64,32,2,64,2,1,8
0.174665,3.493293,0.060972,8.7e-05,0.999973,speclibm,L1i_assoc_4,3.493415,1.0000349240673485,64,32,2,64,2,4,8
0.174665,3.493293,0.060972,8.5e-05,0.999978,speclibm,L1i_assoc_8,3.493415,1.0000349240673485,64,32,2,64,2,8,8
0.174772,3.495444,0.060972,9.4e-05,0.999944,speclibm,L2_1MB,3.493415,0.9994195301083354,64,32,1,64,2,2,8
0.174482,3.489639,0.060972,9.4e-05,0.999944,speclibm,L2_4MB,3.493415,1.0010820603506552,64,32,4,64,2,2,8
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_16,3.493415,1.0,64,32,2,64,2,2,16
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_2,3.493415,1.0,64,32,2,64,2,2,2
0.17469,3.493799,0.060971,9.4e-05,0.999944,speclibm,L2_assoc_32,3.493415,0.9998900909869172,64,32,2,64,2,2,32
0.174671,3.493414,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_4,3.493415,1.000000286252932,64,32,2,64,2,2,4
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_64,3.493415,1.0,64,32,2,64,2,2,64
0.099465,1.989308,0.015244,8e-05,0.999922,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.493415,1.7560955870081456,128,64,4,256,4,16,16
0.099465,1.989308,0.015244,8.9e-05,0.999852,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,3.493415,1.7560955870081456,128,64,4,256,4,4,16
0.099465,1.989308,0.015244,8.1e-05,0.999914,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,3.493415,1.7560955870081456,128,64,4,256,4,8,16
0.099465,1.989308,0.015244,8.1e-05,0.999914,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,3.493415,1.7560955870081456,128,64,4,256,8,8,16
0.066527,1.330534,0.001384,0.035212,0.020416,specmcf,Cacheline_128,1.299095,0.9763711412109723,64,32,2,128,2,2,8
0.071726,1.434514,0.004613,0.014546,0.208407,specmcf,Cacheline_16,1.299095,0.905599387667182,64,32,2,16,2,2,8
0.064922,1.298444,0.001172,0.032583,0.011487,specmcf,Cacheline_256,1.299095,1.000501369331292,64,32,2,256,2,2,8
0.063004,1.260085,0.003208,0.013171,0.159189,specmcf,Cacheline_32,1.299095,1.0309582290083608,64,32,2,32,2,2,8
0.066483,1.329652,0.00118,0.035247,0.02051,specmcf,cl_128_L1d_128kB,1.299095,0.9770187989037734,128,32,2,128,2,2,8
0.066601,1.332011,0.001858,0.035157,0.020204,specmcf,cl_128_L1d_32kB,1.299095,0.9752884923623004,32,32,2,128,2,2,8
