sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.056238,1.124752,0.001384,2e-05,0.529311,specmcf,cl_128_L1i_64kB,1.299095,1.1550057257066448
0.066554,1.331076,0.001384,0.039459,0.018317,specmcf,cl_128_L1i_assoc_1,1.299095,0.9759735732595285
0.056241,1.124828,0.001384,2.4e-05,0.52776,specmcf,cl_128_L1i_assoc_4,1.299095,1.1549276867218812
0.066747,1.334943,0.001384,0.035228,0.022876,specmcf,cl_128_L2_1MB,1.299095,0.9731464189856797
0.066505,1.330106,0.001384,0.035205,0.020211,specmcf,cl_128_L2_4MB,1.299095,0.9766853168093371
0.066528,1.330561,0.001384,0.035209,0.020446,specmcf,cl_128_L2_assoc_16,1.299095,0.9763513284997832
0.066529,1.330574,0.001384,0.03521,0.020442,specmcf,cl_128_L2_assoc_4,1.299095,0.9763417893330248
0.064826,1.296513,0.000806,0.032583,0.01163,specmcf,cl_256_L1d_128kB,1.299095,1.0019914956502558
0.065183,1.303668,0.00209,0.032582,0.011154,specmcf,cl_256_L1d_32kB,1.299095,0.9964922050706162
0.065368,1.307368,0.002538,0.032574,0.011002,specmcf,cl_256_L1d_assoc_1,1.299095,0.9936720188959803
0.064866,1.297318,0.000921,0.032583,0.011584,specmcf,cl_256_L1d_assoc_4,1.299095,1.0013697489744227
0.074207,1.484133,0.001172,0.063935,0.006018,specmcf,cl_256_L1i_16kB,1.299095,0.8753224946820805
0.055531,1.110613,0.001172,2.7e-05,0.292734,specmcf,cl_256_L1i_64kB,1.299095,1.1697098809396254
0.06585,1.317007,0.001172,0.03731,0.010092,specmcf,cl_256_L1i_assoc_1,1.299095,0.9863994648471877
0.058593,1.171854,0.001172,0.011248,0.030815,specmcf,cl_256_L1i_assoc_4,1.299095,1.108580932436976
0.06508,1.3016,0.001172,0.032583,0.013313,specmcf,cl_256_L2_1MB,1.299095,0.9980754456054087
0.064914,1.298288,0.001172,0.032583,0.011384,specmcf,cl_256_L2_4MB,1.299095,1.000621587814106
0.064923,1.298463,0.001172,0.032583,0.011502,specmcf,cl_256_L2_assoc_16,1.299095,1.0004867293099613
0.064924,1.298477,0.001172,0.032583,0.011496,specmcf,cl_256_L2_assoc_4,1.299095,1.0004759421999774
0.064955,1.299095,0.002108,0.023612,0.055046,specmcf,default,1.299095,1.0
0.064926,1.298527,0.001932,0.023611,0.055391,specmcf,L1d_128kB,1.299095,1.0004374187059646
0.057759,1.155171,0.001932,1.8e-05,0.776058,specmcf,L1d_128kB_L1i_64kB,1.299095,1.1245910778577373
0.057987,1.159743,0.001932,1.8e-05,0.837071,specmcf,L1d_128kB_L1i_64kB_L2_1MB,1.299095,1.1201576556185293
0.057987,1.159741,0.001932,1.8e-05,0.837149,specmcf,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.299095,1.1201595873561427
0.057978,1.15955,0.001877,1.8e-05,0.857904,specmcf,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,1.299095,1.120344099003924
0.057735,1.154704,0.001932,1.8e-05,0.770179,specmcf,L1d_128kB_L1i_64kB_L2_4MB,1.299095,1.1250458992088017
0.057735,1.154704,0.001932,1.8e-05,0.770179,specmcf,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,1.299095,1.1250458992088017
0.057727,1.154547,0.001877,1.8e-05,0.78931,specmcf,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,1.299095,1.1251988875290484
0.064989,1.29978,0.002493,0.023612,0.054349,specmcf,L1d_32kB,1.299095,0.9994729877363863
0.065048,1.300951,0.002816,0.023609,0.053669,specmcf,L1d_assoc_1,1.299095,0.9985733513406732
0.064933,1.298668,0.00197,0.023611,0.055307,specmcf,L1d_assoc_4,1.299095,1.000328798430392
0.064931,1.298611,0.001932,0.023611,0.055376,specmcf,L1d_assoc_8,1.299095,1.0003727059142424
0.070116,1.402316,0.002108,0.042936,0.031607,specmcf,L1i_16kB,1.299095,0.9263924821509562
0.05778,1.155606,0.002108,1.8e-05,0.711878,specmcf,L1i_64kB,1.299095,1.1241677526769507
0.066777,1.335538,0.002108,0.034857,0.038453,specmcf,L1i_assoc_1,1.299095,0.9727128692706611
0.057773,1.15545,0.002108,1.9e-05,0.711863,specmcf,L1i_assoc_4,1.299095,1.1243195291877623
0.057773,1.15545,0.002108,1.8e-05,0.711944,specmcf,L1i_assoc_8,1.299095,1.1243195291877623
0.065187,1.30375,0.002108,0.023612,0.059346,specmcf,L2_1MB,1.299095,0.9964295302013424
0.064926,1.298512,0.002108,0.023612,0.054613,specmcf,L2_4MB,1.299095,1.0004489754426604
0.064956,1.299114,0.002108,0.023612,0.055085,specmcf,L2_assoc_16,1.299095,0.9999853746476445
0.06496,1.299192,0.002108,0.023612,0.055223,specmcf,L2_assoc_2,1.299095,0.9999253382102108
0.064956,1.299113,0.002108,0.023612,0.055066,specmcf,L2_assoc_32,1.299095,0.9999861443923663
