Benchmark,Config,Cost,speedup,pcr
specbzip,Cacheline_32,0.9705882352941176,0.9066540140485085,0.9341283781105846
specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,2.1176470588235294,1.9860354624534822,0.9378500794919221
specmcf,cl_256_L1d_assoc_1,1.0588235294117647,0.9936720188959803,0.9384680178462036
spechmmer,L2_4MB,1.0588235294117647,0.9999520191519341,0.9443991291990489
specmcf,L2_4MB,1.0588235294117647,1.0004489754426604,0.9448684768069571
specsjeng,L2_4MB,1.0588235294117647,1.0005004180541328,0.9449170614955699
specmcf,cl_128_L2_1MB,1.0294117647058822,0.9731464189856797,0.9453422355860889
speclibm,L2_4MB,1.0588235294117647,1.0010820603506552,0.9454663903311743
specmcf,Cacheline_16,0.9558823529411765,0.9055993876671821,0.9473962824825904
spechmmer,Cacheline_128,1.0588235294117647,1.00502462820797,0.9491899266408605
specbzip,Cacheline_128,1.0588235294117647,1.0078466409812232,0.9518551609267109
specbzip,cl_256_L1i_assoc_1,1.0588235294117647,1.0104069540108882,0.9542732343436167
specmcf,cl_128_L1i_64kB,1.2058823529411764,1.1550057257066448,0.9578096261957543
specbzip,L2_4MB,1.0588235294117647,1.0156011918870418,0.9591789034488728
specbzip,cl_128_L2_1MB,1.0294117647058822,0.9933755251054055,0.9649933672452512
spechmmer,cl_128_L2_1MB,1.0294117647058822,1.00502462820797,0.9763096388305995
specmcf,cl_128_L2_assoc_4,1.0,0.9763417893330248,0.9763417893330248
specmcf,L1i_64kB,1.1470588235294117,1.1241677526769507,0.9800436818209314
spechmmer,cl_128_L1i_assoc_1,0.9411764705882353,0.9303737340589918,0.9885220924376789
specmcf,cl_128_L1d_32kB,0.9852941176470589,0.9752884923623003,0.9898450370244242
specmcf,L1i_16kB,0.9264705882352942,0.9263924821509562,0.9999156950200796
specbzip,default,1.0,1.0,1.0
specsjeng,default,1.0,1.0,1.0
spechmmer,default,1.0,1.0,1.0
specmcf,default,1.0,1.0,1.0
speclibm,default,1.0,1.0,1.0
specbzip,cl_128_L1d_32kB,0.9852941176470589,0.990206117801308,1.0049853135893871
spechmmer,cl_128_L2_assoc_4,1.0,1.00502462820797,1.00502462820797
specbzip,cl_128_L2_assoc_4,1.0,1.008165440810158,1.008165440810158
specbzip,L2_1MB,0.9705882352941176,0.9819528564413161,1.0117090036062044
spechmmer,cl_128_L1d_32kB,0.9852941176470589,1.0024590655044754,1.0174211411090197
spechmmer,Cacheline_16,0.9558823529411765,0.9734598919613472,1.0183888100518708
spechmmer,cl_128_L1i_16kB,0.9852941176470589,1.0044739418886444,1.019466090275042
spechmmer,L1i_assoc_1,0.8823529411764706,0.9019631217089902,1.022224871270189
spechmmer,Cacheline_32,0.9705882352941176,0.9925420460327711,1.0226190777307338
specbzip,cl_128_L1i_16kB,0.9852941176470589,1.0078133812704455,1.022855372035676
specmcf,L2_1MB,0.9705882352941176,0.9964295302013424,1.0266243644498678
speclibm,L2_1MB,0.9705882352941176,0.9994195301083354,1.0297049704146486
specsjeng,L2_1MB,0.9705882352941176,0.9997355272726672,1.030030543250627
spechmmer,L2_1MB,0.9705882352941176,1.0,1.0303030303030303
specmcf,cl_128_L1d_assoc_1,0.9411764705882353,0.9728680283826034,1.0336722801565161
specmcf,cl_128_L1i_assoc_1,0.9411764705882353,0.9759735732595285,1.0369719215882491
spechmmer,cl_128_L1d_assoc_1,0.9411764705882353,0.9809040636872512,1.0422105676677045
speclibm,cl_128_L1d_assoc_4,1.2941176470588236,1.3533554229866436,1.0457746450351335
speclibm,cl_128_L1i_assoc_4,1.2941176470588236,1.3533632874181996,1.0457807220958815
specbzip,cl_128_L1d_assoc_1,0.9411764705882353,0.9854643061443009,1.0470558252783198
specmcf,Cacheline_32,0.9705882352941176,1.0309582290083608,1.0621993874631597
spechmmer,L2_assoc_4,0.9411764705882353,1.0,1.0625
speclibm,L2_assoc_4,0.9411764705882353,1.000000286252932,1.0625003041437402
specsjeng,L2_assoc_4,0.9411764705882353,1.0000028236141776,1.0625030000900637
specbzip,L1d_32kB,0.9264705882352942,0.9843848715403091,1.0625106549958891
specmcf,L2_assoc_4,0.9411764705882353,1.00004464845882,1.0625474389874963
specbzip,L2_assoc_4,0.9411764705882353,1.000486647570068,1.0630170630431972
specbzip,cl_128_L1i_assoc_1,0.9411764705882353,1.0078133812704455,1.0708017175998483
spechmmer,L1d_32kB,0.9264705882352942,0.9971217429697165,1.0762583892371542
spechmmer,L1i_16kB,0.9264705882352942,0.9993883786903395,1.0787049166816363
specmcf,L1d_32kB,0.9264705882352942,0.9994729877363863,1.0787962407313376
specbzip,L1i_16kB,0.9264705882352942,0.999711927739097,1.0790541442263268
speclibm,L1d_32kB,0.9264705882352942,0.9998826501041123,1.079238415985391
specsjeng,L1i_16kB,0.9264705882352942,0.9999668967472549,1.0793293488700528
specsjeng,L1d_32kB,0.9264705882352942,1.0000033104458197,1.0793686525446942
speclibm,L1i_16kB,0.9264705882352942,1.0001044932079415,1.0794778656847621
specbzip,L2_assoc_2,0.9117647058823529,0.9949772795799374,1.091265403410254
specmcf,L2_assoc_2,0.9117647058823529,0.9999253382102108,1.096692306424102
speclibm,L2_assoc_2,0.9117647058823529,1.0,1.096774193548387
spechmmer,L2_assoc_2,0.9117647058823529,1.0,1.096774193548387
specsjeng,L2_assoc_2,0.9117647058823529,1.0000403110376295,1.0968184056541743
specmcf,L1i_assoc_1,0.8823529411764706,0.9727128692706611,1.1024079185067492
spechmmer,L1d_assoc_1,0.8823529411764706,0.9805389048563178,1.111277425503827
specbzip,L1d_assoc_1,0.8823529411764706,0.981378551592414,1.1122290251380693
speclibm,cl_128_L1d_128kB,1.2058823529411764,1.3533554229866436,1.1222947410133142
speclibm,cl_128_L1i_64kB,1.2058823529411764,1.3533748220831516,1.122310828068955
speclibm,L1d_assoc_1,0.8823529411764706,0.9951827822210195,1.1278738198504887
specsjeng,L1d_assoc_1,0.8823529411764706,0.9981076821380239,1.1311887064230939
specmcf,L1d_assoc_1,0.8823529411764706,0.9985733513406732,1.131716464852763
specbzip,L1i_assoc_1,0.8823529411764706,0.9998166620832187,1.1331255503609812
specsjeng,L1i_assoc_1,0.8823529411764706,0.9999842270003377,1.1333154572670494
speclibm,L1i_assoc_1,0.8823529411764706,1.0001325526374254,1.1334835596557489
speclibm,cl_128_L2_assoc_16,1.1764705882352942,1.3533554229866436,1.150352109538647
specsjeng,cl_128_L1i_assoc_4,1.2941176470588236,1.5104133485690083,1.1671375875305974
specsjeng,cl_128_L1d_assoc_4,1.2941176470588236,1.5104786561906578,1.1671880525109628
speclibm,cl_128_L2_4MB,1.1176470588235294,1.3557883110235045,1.2130737519683987
speclibm,cl_256_L1i_assoc_4,1.411764705882353,1.754913475411022,1.2430637117494738
speclibm,cl_256_L1d_assoc_4,1.411764705882353,1.754913475411022,1.2430637117494738
specsjeng,cl_128_L1i_64kB,1.2058823529411764,1.510513311507814,1.252620794908919
specsjeng,cl_128_L1d_128kB,1.2058823529411764,1.510517310300584,1.2526241109809721
speclibm,Cacheline_128,1.0588235294117647,1.3533554229866436,1.2781690105984966
specsjeng,cl_128_L2_assoc_16,1.1764705882352942,1.5104526657463255,1.2838847658843766
speclibm,cl_128_L2_1MB,1.0294117647058822,1.3521464371322727,1.3135136817856365
speclibm,cl_256_L1d_128kB,1.3235294117647058,1.754913475411022,1.3259346258661056
speclibm,cl_256_L1i_64kB,1.3235294117647058,1.7549505025102907,1.3259626018966642
specsjeng,cl_128_L2_4MB,1.1176470588235294,1.5114218032982538,1.3523247713721218
speclibm,cl_128_L2_assoc_4,1.0,1.3533554229866436,1.3533554229866436
speclibm,cl_256_L2_assoc_16,1.2941176470588236,1.754913475411022,1.3560695037266988
speclibm,cl_128_L1i_16kB,0.9852941176470589,1.3533454615045493,1.3735446474971544
speclibm,cl_128_L1d_32kB,0.9852941176470589,1.3533653846153846,1.373564867967853
specsjeng,cl_256_L1i_assoc_4,1.411764705882353,1.9843390575303637,1.4055734990840074
specsjeng,cl_256_L1d_assoc_4,1.411764705882353,1.9844333753255687,1.4056403075222779
speclibm,cl_256_L2_4MB,1.2352941176470589,1.7560964697756556,1.4216019041041021
specsjeng,Cacheline_128,1.0588235294117647,1.5104930957128873,1.4265768126177267
speclibm,cl_128_L1d_assoc_1,0.9411764705882353,1.3444402282005654,1.4284677424631007
speclibm,cl_128_L1i_assoc_1,0.9411764705882353,1.3533423158038278,1.437926210541567
specsjeng,cl_128_L2_1MB,1.0294117647058822,1.5100722413703367,1.4669273201883273
speclibm,Cacheline_256,1.1764705882352942,1.754913475411022,1.4916764540993688
specsjeng,cl_256_L1i_64kB,1.3235294117647058,1.9843624444403658,1.4992960691327208
specsjeng,cl_256_L1d_128kB,1.3235294117647058,1.9843858319016385,1.499313739659016
specsjeng,cl_128_L2_assoc_4,1.0,1.510517310300584,1.510517310300584
speclibm,cl_256_L2_1MB,1.1470588235294117,1.7543688286748231,1.529449748075487
specsjeng,cl_128_L1d_32kB,0.9852941176470589,1.5104930957128873,1.5330377687832288
specsjeng,cl_128_L1i_16kB,0.9852941176470589,1.510517310300584,1.533062344782682
specsjeng,cl_256_L2_assoc_16,1.2941176470588236,1.9843513260045746,1.5333623882762621
speclibm,cl_256_L2_assoc_4,1.1176470588235294,1.754913475411022,1.5701857411572302
speclibm,cl_256_L1d_32kB,1.1029411764705883,1.754913475411022,1.5911215510393266
speclibm,cl_256_L1i_16kB,1.1029411764705883,1.754913475411022,1.5911215510393266
specsjeng,cl_128_L1d_assoc_1,0.9411764705882353,1.5018745366301625,1.5957416951695476
specsjeng,cl_128_L1i_assoc_1,0.9411764705882353,1.5104930957128873,1.6048989141949428
specsjeng,cl_256_L2_4MB,1.2352941176470589,1.985964416995226,1.6076854804247067
speclibm,cl_256_L1d_assoc_1,1.0588235294117647,1.7161202310616723,1.6207802182249127
speclibm,cl_256_L1i_assoc_1,1.0588235294117647,1.7548138626384584,1.6573242036029885
specsjeng,Cacheline_256,1.1764705882352942,1.984372412799072,1.6867165508792112
specsjeng,cl_256_L2_1MB,1.1470588235294117,1.9835614692241064,1.7292587167594775
specsjeng,cl_256_L2_assoc_4,1.1176470588235294,1.98432640582522,1.775449942054144
specsjeng,cl_256_L1d_32kB,1.1029411764705883,1.9842543325218358,1.7990572614864644
specsjeng,cl_256_L1i_16kB,1.1029411764705883,1.9843390575303637,1.7991340788275296
specsjeng,cl_256_L1d_assoc_1,1.0588235294117647,1.9549055966670565,1.8462997301855535
specsjeng,cl_256_L1i_assoc_1,1.0588235294117647,1.9843141376591498,1.8740744633447526
